Code,Region/Country/Area,Year,Series,Value
2,Africa,1995,GDP in current prices (millions of US dollars),604467
2,Africa,2005,GDP in current prices (millions of US dollars),1170541
2,Africa,2010,GDP in current prices (millions of US dollars),2032590
2,Africa,2015,GDP in current prices (millions of US dollars),2407357
2,Africa,2019,GDP in current prices (millions of US dollars),2571104
2,Africa,2020,GDP in current prices (millions of US dollars),2443988
2,Africa,2021,GDP in current prices (millions of US dollars),2726643
2,Africa,1995,GDP per capita (US dollars),836
2,Africa,2005,GDP per capita (US dollars),1263
2,Africa,2010,GDP per capita (US dollars),1929
2,Africa,2015,GDP per capita (US dollars),2007
2,Africa,2019,GDP per capita (US dollars),1939
2,Africa,2020,GDP per capita (US dollars),1799
2,Africa,2021,GDP per capita (US dollars),1959
2,Africa,1995,GDP in constant 2015 prices (millions of US dollars),984606
2,Africa,2005,GDP in constant 2015 prices (millions of US dollars),1533871
2,Africa,2010,GDP in constant 2015 prices (millions of US dollars),1995546
2,Africa,2015,GDP in constant 2015 prices (millions of US dollars),2407357
2,Africa,2019,GDP in constant 2015 prices (millions of US dollars),2672971
2,Africa,2020,GDP in constant 2015 prices (millions of US dollars),2602636
2,Africa,2021,GDP in constant 2015 prices (millions of US dollars),2738166
2,Africa,1995,GDP real rates of growth (percent),2.8
2,Africa,2005,GDP real rates of growth (percent),6.2
2,Africa,2010,GDP real rates of growth (percent),5.9
2,Africa,2015,GDP real rates of growth (percent),3.4
2,Africa,2019,GDP real rates of growth (percent),2.4
2,Africa,2020,GDP real rates of growth (percent),-2.6
2,Africa,2021,GDP real rates of growth (percent),5.2
15,Northern Africa,1995,GDP in current prices (millions of US dollars),207392
15,Northern Africa,2005,GDP in current prices (millions of US dollars),376507
15,Northern Africa,2010,GDP in current prices (millions of US dollars),646437
15,Northern Africa,2015,GDP in current prices (millions of US dollars),772568
15,Northern Africa,2019,GDP in current prices (millions of US dollars),764307
15,Northern Africa,2020,GDP in current prices (millions of US dollars),762287
15,Northern Africa,2021,GDP in current prices (millions of US dollars),853806
15,Northern Africa,1995,GDP per capita (US dollars),1281
15,Northern Africa,2005,GDP per capita (US dollars),1922
15,Northern Africa,2010,GDP per capita (US dollars),3127
15,Northern Africa,2015,GDP per capita (US dollars),3390
15,Northern Africa,2019,GDP per capita (US dollars),3101
15,Northern Africa,2020,GDP per capita (US dollars),3039
15,Northern Africa,2021,GDP per capita (US dollars),3346
15,Northern Africa,1995,GDP in constant 2015 prices (millions of US dollars),354910
15,Northern Africa,2005,GDP in constant 2015 prices (millions of US dollars),557673
15,Northern Africa,2010,GDP in constant 2015 prices (millions of US dollars),700055
15,Northern Africa,2015,GDP in constant 2015 prices (millions of US dollars),772568
15,Northern Africa,2019,GDP in constant 2015 prices (millions of US dollars),873924
15,Northern Africa,2020,GDP in constant 2015 prices (millions of US dollars),839687
15,Northern Africa,2021,GDP in constant 2015 prices (millions of US dollars),896364
15,Northern Africa,1995,GDP real rates of growth (percent),2
15,Northern Africa,2005,GDP real rates of growth (percent),6
15,Northern Africa,2010,GDP real rates of growth (percent),5
15,Northern Africa,2015,GDP real rates of growth (percent),3.7
15,Northern Africa,2019,GDP real rates of growth (percent),1.6
15,Northern Africa,2020,GDP real rates of growth (percent),-3.9
15,Northern Africa,2021,GDP real rates of growth (percent),6.7
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),397075
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),794034
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),1386153
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),1634789
202,Sub-Saharan Africa,2019,GDP in current prices (millions of US dollars),1806798
