Code,Region/Country/Area,Year,Series,Value
19,Americas,1995,GDP in current prices (millions of US dollars),10222806
19,Americas,2005,GDP in current prices (millions of US dollars),17084190
19,Americas,2010,GDP in current prices (millions of US dollars),22029028
19,Americas,2015,GDP in current prices (millions of US dollars),25283652
19,Americas,2019,GDP in current prices (millions of US dollars),28638614
19,Americas,2020,GDP in current prices (millions of US dollars),27338959
19,Americas,2021,GDP in current prices (millions of US dollars),30618690
19,Americas,1995,GDP per capita (US dollars),13150
19,Americas,2005,GDP per capita (US dollars),19283
19,Americas,2010,GDP per capita (US dollars),23570
19,Americas,2015,GDP per capita (US dollars),25739
19,Americas,2019,GDP per capita (US dollars),28144
19,Americas,2020,GDP per capita (US dollars),26684
19,Americas,2021,GDP per capita (US dollars),29723
19,Americas,1995,GDP in constant 2015 prices (millions of US dollars),15230945
19,Americas,2005,GDP in constant 2015 prices (millions of US dollars),21055926
19,Americas,2010,GDP in constant 2015 prices (millions of US dollars),22734261
19,Americas,2015,GDP in constant 2015 prices (millions of US dollars),25283652
19,Americas,2019,GDP in constant 2015 prices (millions of US dollars),27145355
19,Americas,2020,GDP in constant 2015 prices (millions of US dollars),26109546
19,Americas,2021,GDP in constant 2015 prices (millions of US dollars),27665722
19,Americas,1995,GDP real rates of growth (percent),2.4
19,Americas,2005,GDP real rates of growth (percent),3.7
19,Americas,2010,GDP real rates of growth (percent),3.4
19,Americas,2015,GDP real rates of growth (percent),2
19,Americas,2019,GDP real rates of growth (percent),1.7
19,Americas,2020,GDP real rates of growth (percent),-3.8
19,Americas,2021,GDP real rates of growth (percent),6
21,Northern America,1995,GDP in current prices (millions of US dollars),8249570
21,Northern America,2005,GDP in current prices (millions of US dollars),14219073
21,Northern America,2010,GDP in current prices (millions of US dollars),16675374
21,Northern America,2015,GDP in current prices (millions of US dollars),19771305
21,Northern America,2019,GDP in current prices (millions of US dollars),23132891
21,Northern America,2020,GDP in current prices (millions of US dollars),22715855
21,Northern America,2021,GDP in current prices (millions of US dollars),25313920
21,Northern America,1995,GDP per capita (US dollars),27958
21,Northern America,2005,GDP per capita (US dollars),43196
21,Northern America,2010,GDP per capita (US dollars),48297
21,Northern America,2015,GDP per capita (US dollars),54850
21,Northern America,2019,GDP per capita (US dollars),62192
21,Northern America,2020,GDP per capita (US dollars),60746
21,Northern America,2021,GDP per capita (US dollars),67455
21,Northern America,1995,GDP in constant 2015 prices (millions of US dollars),12097713
21,Northern America,2005,GDP in constant 2015 prices (millions of US dollars),16930307
21,Northern America,2010,GDP in constant 2015 prices (millions of US dollars),17792210
21,Northern America,2015,GDP in constant 2015 prices (millions of US dollars),19771305
21,Northern America,2019,GDP in constant 2015 prices (millions of US dollars),21628222
21,Northern America,2020,GDP in constant 2015 prices (millions of US dollars),20993468
21,Northern America,2021,GDP in constant 2015 prices (millions of US dollars),22218806
21,Northern America,1995,GDP real rates of growth (percent),2.7
21,Northern America,2005,GDP real rates of growth (percent),3.5
21,Northern America,2010,GDP real rates of growth (percent),2.7
21,Northern America,2015,GDP real rates of growth (percent),2.5
21,Northern America,2019,GDP real rates of growth (percent),2.3
21,Northern America,2020,GDP real rates of growth (percent),-2.9
21,Northern America,2021,GDP real rates of growth (percent),5.8
419,Latin America & the Caribbean,1995,GDP in current prices (millions of US dollars),1973236
419,Latin America & the Caribbean,2005,GDP in current prices (millions of US dollars),2865117
419,Latin America & the Caribbean,2010,GDP in current prices (millions of US dollars),5353653
419,Latin America & the Caribbean,2015,GDP in current prices (millions of US dollars),5512346
419,Latin America & the Caribbean,2019,GDP in current prices (millions of US dollars),5505724
419,Latin America & the Caribbean,2020,GDP in current prices (millions of US dollars),4623104
419,Latin America & the Caribbean,2021,GDP in current prices (millions of US dollars),5304770
419,Latin America & the Caribbean,1995,GDP per capita (US dollars),4091
419,Latin America & the Caribbean,2005,GDP per capita (US dollars),5146
